	一	二	三	四	五	六	七	八	九
item1	0.860100418	0.603235198	0.294782839	0.209354084	0.783806153	0.794239473	0.987077656	0.436365758	0.997008163
item2	0.876519781	0.909600182	0.909968233	0.341532143	0.65302058	0.34172034	0.133065148	0.158088232	0.735266996
item3	0.730190773	0.640835844	0.407595252	0.896275853	0.582441599	0.640138992	0.008362624	0.155878228	0.592476727
item4	0.3568221	0.554631268	0.104788304	0.215882445	0.688442678	0.326785151	0.242103144	0.680480901	0.937621329
item5	0.181653357	0.260810442	0.240994784	0.508863264	0.444470895	0.554365324	0.249000787	0.861986773	0.243636606
item6	0.386777691	0.713064704	0.536369636	0.033687276	0.264537815	0.059219571	0.464035014	0.970084245	0.560186803
item7	0.164536124	0.785805192	0.526282584	0.157416095	0.205147687	0.403968647	0.882592393	0.042134401	0.08941494
item8	0.457491181	0.514416723	0.40617703	0.566310919	0.206904132	0.791308663	0.187994022	0.878998523	0.726789493
item9	0.577114816	0.885095409	0.263577187	0.241444234	0.223528062	0.372712452	0.474936475	0.858852395	0.406367965
item10	0.517418564	0.331007858	0.863780553	0.455377834	0.144160846	0.588532834	0.899588387	0.207770446	0.563619798
item11	0.209122589	0.95009979	0.183455756	0.008399735	0.882264067	0.308133474	0.627443413	0.299181165	0.391103204
item12	0.806892689	0.750215729	0.984748877	0.956393566	0.672594864	0.565939661	0.799581286	0.735376537	0.608189234
item13	0.812279518	0.990775325	0.250748929	0.985929274	0.317007615	0.2715519	0.692815195	0.44663676	0.540056062
item14	0.150557573	0.151163254	0.020073813	0.911779623	0.416319735	0.332984672	0.950244912	0.492550839	0.049886688
item15	0.487554554	0.995421245	0.203273997	0.374273868	0.296667213	0.112592877	0.867015494	0.383031961	0.067397858
item16	0.468797839	0.639472053	0.058554243	0.723447861	0.584524356	0.721618205	0.831581973	0.959823638	0.348103757
item17	0.127091298	0.112765171	0.227151117	0.508162098	0.254805223	0.185136398	0.803307157	0.561098649	0.928224146
item18	0.691050472	0.260801872	0.229263865	0.513990621	0.70177159	0.368647685	0.785529168	0.647603722	0.880576297
item19	0.145332264	0.869167953	0.688779199	0.884211451	0.122721629	0.305702446	0.160744001	0.3737793	0.144712723
item20	0.009197058	0.183325079	0.440900185	0.648678357	0.43858966	0.222998549	0.290299506	0.9154634	0.389743507
item21	0.70763398	0.560690144	0.288613782	0.644078083	0.208329589	0.707110827	0.528481694	0.917262786	0.45489279
item22	0.638943683	0.581124459	0.187722728	0.107149391	0.689623091	0.5287263	0.137410954	0.539345494	0.014403757
